Fecha,Dominio,PorcentajeTexto,IP,CorreoConTLS,ArchivosAdjuntosPeligrosos,OfertasIrreales,UrlsIndexados,ImagenesCodigoOculto,HeaderRemitenteFalso,ContenidoSensible,Etiqueta
2023-08-21,aol.com,0.68,139.78.146.140,True,False,False,https://kvhvb.oferta.com,False,False,False,0
2023-01-09,exit0.com,0.32,217.165.237.57,False,True,True,http://toujp.couponfast.info,True,True,True,1
2023-10-10,empresa.org,0.5,156.3.158.205,True,False,False,https://fvgml.promo.net,False,False,False,0
2023-09-02,exit0.com,0.4,51.120.100.228,False,False,False,http://haewc.secure-login.co,True,False,False,1
2023-06-23,gmail.com,0.93,173.189.171.222,True,False,False,http://lmfrj.promo.net,False,False,False,0
2023-10-27,empresa.org,0.89,30.131.178.158,True,False,True,https://ujneq.getprize.store,False,False,False,0
2023-04-21,protonmail.com,0.46,214.97.74.135,True,False,False,http://uujgf.promo.net,False,False,False,0
2023-03-01,gmail.com,0.35,102.129.80.210,True,False,False,http://fxden.com,True,False,False,1
2023-08-26,gmail.com,0.45,214.192.188.204,False,False,True,http://myqik.com,False,True,True,0
2023-11-15,trabajo-rápido.org,0.54,19.87.28.154,False,True,True,http://hizkw.phishing-page.net,True,True,False,1
2023-04-21,noticiaslive.co,0.19,254.186.190.209,False,True,False,http://urnlr.phishing-page.net,True,True,False,1
2023-07-02,outlook.com,0.24,27.171.3.159,False,True,True,http://ofiwb.freegift.io,False,True,False,1
2023-07-19,zoho.com,0.47,217.244.65.19,False,False,False,https://ogvpm.getprize.store,False,True,True,1
2023-11-25,hotmail.com,0.23,93.104.205.198,True,True,True,http://qxaru.com,True,True,True,1
2023-12-25,fakebank.co,0.36,239.104.127.31,False,False,True,http://lbpvc.phishing-page.net,False,True,True,1
2023-04-03,yahoo.com,0.12,27.46.41.164,False,False,True,http://pzvtg.lottery.win,True,False,True,1
2023-04-21,tutanota.com,0.34,201.178.1.65,False,False,True,https://dteyk.phishing-page.net,True,True,True,1
2023-10-22,hotmail.com,0.51,218.182.237.29,True,False,True,http://lxcnz.com,True,True,True,1
2023-11-20,empresa.org,0.19,149.80.144.7,False,True,False,https://mcvcs.phishing-page.net,True,False,True,1
2023-03-09,exito.com,0.48,111.65.234.185,True,False,False,https://xqslh.oferta.com,False,False,False,0
2023-10-07,aol.com,0.88,241.251.172.235,True,False,False,https://ckrli.promo.net,False,False,False,0
2023-07-16,gmail.com,0.39,188.181.205.51,False,True,False,http://fbsbh.com,True,False,False,1
2023-12-15,tutanota.com,0.4,72.94.15.244,False,True,True,https://obgnr.fakeprize.xyz,False,False,False,1
2023-02-08,freemail.xyz,0.5,219.13.24.208,False,True,True,http://smpbg.com,True,False,False,1
2023-05-16,gmail.com,0.76,88.188.221.34,True,False,False,http://kiyie.secure.org,False,False,True,0
2023-07-06,empresa.org,0.49,58.112.248.201,False,True,False,http://epwmw.com,False,False,True,0
2023-04-20,icloud.com,0.38,49.132.30.55,False,True,True,http://nvjys.phishing-page.net,False,True,True,1
2023-08-03,securepay.net,0.81,10.142.67.26,True,False,False,http://ogqdc.freegift.io,False,False,False,0
2023-09-07,empresa.org,0.25,137.63.225.110,True,True,True,http://rtryd.com,True,True,False,0
2024-01-01,mail.com,0.52,50.205.248.106,False,True,False,http://rkzah.couponfast.info,False,False,False,1
2023-12-13,exit0.com,0.35,150.114.101.152,True,False,False,http://zroea.discountzone.org,False,True,True,1
2023-11-29,securepay.net,0.4,171.114.187.88,False,True,False,http://ehtwe.couponfast.info,True,False,False,1
2023-06-12,yahoo.com,0.57,71.136.164.211,True,False,False,http://dcubq.com,True,False,True,0
2023-01-31,icloud.com,0.78,173.1.33.145,True,False,False,https://lqdua.superdeal.shop,False,False,False,0
2023-09-28,yahoo.com,0.85,118.173.113.121,True,False,True,https://pcubw.bank.com,False,False,False,0
2023-04-05,icloud.com,0.41,246.159.40.231,False,False,False,https://juuki.freegift.io,False,False,False,0
2023-05-25,yahoo.com,0.87,133.40.17.86,False,False,False,http://hsefx.com,True,False,True,1
2023-06-15,freemail.xyz,0.24,24.50.34.124,True,True,True,http://tefko.com,False,True,True,1
2023-12-18,icloud.com,0.89,166.167.218.173,True,False,False,http://mrtff.superdeal.shop,False,False,False,0
2023-06-12,mail.com,0.83,7.129.102.54,True,False,False,https://vlzep.couponfast.info,False,False,False,0
2023-08-11,exito.com,0.87,237.168.36.7,True,False,False,https://ddeko.getprize.store,False,False,False,0
2023-02-25,icloud.com,0.84,119.217.41.71,True,False,False,https://qygss.superdeal.shop,False,False,False,0
2023-06-06,outlook.com,0.79,133.50.130.219,True,False,False,https://xbwhu.secure.org,False,False,False,0
2023-01-01,icloud.com,0.71,248.209.255.249,False,False,False,http://bpkha.promo.net,False,True,False,0
2023-03-15,freemail.xyz,0.45,15.43.201.136,False,True,False,http://ixgvz.com,True,True,False,0
2023-04-16,protonmail.com,0.42,120.70.103.125,True,False,False,http://mmspv.bank.com,False,False,False,0
2023-04-21,hotmail.com,0.94,190.166.99.249,False,False,False,https://lxhvk.promo.net,False,True,False,0
2023-12-22,aol.com,0.71,38.249.16.119,True,False,False,https://zbndu.secure.org,False,False,False,0
2023-10-08,outlook.com,0.54,241.129.189.64,True,False,False,http://gorze.promo.net,False,False,False,0
2023-05-05,empresa.org,0.33,253.133.181.66,True,True,True,http://qogny.com,True,True,False,1
2023-06-14,zoho.com,0.64,210.46.48.121,True,False,False,http://igokj.freegift.io,False,False,False,0
2023-03-09,hotmail.com,0.68,83.123.179.206,True,False,False,https://ayxgf.oferta.com,False,False,False,0
2023-07-27,yahoo.com,0.41,42.57.206.128,False,True,False,http://mztwr.com,True,False,True,1
2023-08-19,ofertas123.com,0.42,86.199.211.204,False,True,False,http://hfrbz.secure-login.co,True,True,True,1
2023-07-28,empresa.org,0.94,79.158.229.85,False,False,False,https://qozkj.oferta.com,True,False,False,0
2023-01-05,securepay.net,0.56,161.49.0.148,True,False,True,http://uobry.clickhere.biz,True,True,True,1
2023-03-06,gmail.com,0.31,143.201.28.149,True,True,False,http://jjkcf.com,True,True,True,0
2023-12-07,aol.com,0.53,2.108.234.108,False,True,False,http://jrejv.phishing-page.net,True,False,False,1
2023-07-19,securepay.net,0.59,235.157.157.104,False,False,False,http://yweep.freemoney.biz,True,True,False,1
2023-04-03,icloud.com,0.25,227.51.70.183,False,False,False,http://mgxou.fakeprize.xyz,False,False,False,1
2023-01-05,mail.com,0.78,188.145.80.35,True,False,False,https://zzxrr.secure.org,False,False,False,0
2023-04-14,yahoo.com,0.93,121.91.226.159,True,False,False,http://kgzpt.com,False,True,True,0
2023-11-03,empresa.org,0.91,110.13.96.91,False,True,False,http://cfrcx.com,True,True,True,0
2023-12-15,zoho.com,0.86,96.153.214.93,True,False,False,http://rskyj.phishing-page.net,False,False,False,0
2023-11-08,tutanota.com,0.75,46.251.1.71,True,False,False,https://akxag.lottery.win,False,False,False,0
2023-01-14,freemail.xyz,0.48,156.198.248.165,True,False,True,http://vfpul.com,False,False,True,1
2023-10-19,exit0.com,0.64,61.181.251.139,False,True,True,https://wgvhw.couponfast.info,False,True,True,1
2023-02-03,empresa.org,0.17,47.51.188.254,True,False,False,http://rkkfr.com,False,True,True,1
2023-04-23,empresa.org,0.49,29.240.208.95,True,False,False,https://deyts.promo.net,False,False,False,0
2023-10-18,noticiaslive.co,0.56,151.21.160.222,False,True,False,https://xvjqn.getprize.store,True,False,True,1
2023-01-14,hotmail.com,0.4,22.19.239.18,True,False,False,http://cqxaj.oferta.com,False,False,False,0
2023-11-03,exito.com,0.66,247.175.223.29,True,False,False,https://mdcjr.promo.net,True,False,False,0
2023-04-29,empresa.org,0.36,204.242.127.6,True,False,True,http://nprlc.com,True,False,True,1
2023-05-30,hotmail.com,0.41,129.46.133.190,True,False,True,http://dpwou.com,False,True,False,0
2023-02-08,fakebank.co,0.11,44.180.2.30,False,True,False,https://gvzpk.couponfast.info,True,True,False,1
2023-06-03,empresa.org,0.54,141.228.139.131,False,False,True,http://iiocw.com,False,True,False,0
2023-05-24,securepay.net,0.29,134.126.94.49,True,False,False,http://kpfwy.fakeprize.xyz,False,False,True,1
2023-01-18,zoho.com,0.21,173.144.19.36,False,False,True,http://uecfi.fakeprize.xyz,False,True,True,1
2023-08-19,mail.com,0.39,17.187.50.151,True,True,False,https://qmpuq.discountzone.org,False,True,False,1
2023-01-20,noticiaslive.co,0.41,37.169.86.89,True,False,False,https://nnmwf.secure.org,False,False,True,0
2023-08-21,exit0.com,0.46,100.56.189.81,True,False,False,http://chung.com,False,True,True,0
2023-11-17,hotmail.com,0.29,58.64.67.174,True,False,False,http://ikels.com,True,False,True,1
2023-09-25,yahoo.com,0.45,54.177.96.234,False,False,False,http://iyxcm.com,False,True,True,1
2023-11-01,zoho.com,0.3,39.21.124.78,False,False,False,https://rxlwe.investcrypto.pro,True,False,False,1
2023-08-29,fakebank.co,0.26,133.40.70.127,False,True,True,https://psora.bank.com,True,True,False,1
2023-12-18,aol.com,0.32,86.71.187.200,False,True,False,http://jmhgc.investcrypto.pro,False,True,False,1
